date,S,K,tau,r,q,price,expiry,days,moneyness
2026-01-08,685.8651123046875,634.0,0.1178082191780822,0.035069999694824217,-0.05,61.08,2026-02-20,43,0.0818061708275828
2026-01-08,685.8651123046875,648.0,0.1178082191780822,0.035069999694824217,-0.05,47.97,2026-02-20,43,0.05843381528501158
2026-01-08,685.8651123046875,662.0,0.1178082191780822,0.035069999694824217,-0.05,35.445,2026-02-20,43,0.03605001858714124
2026-01-08,685.8651123046875,669.0,0.1178082191780822,0.035069999694824217,-0.05,29.494999999999997,2026-02-20,43,0.025209435433015695
2026-01-08,685.8651123046875,676.0,0.1178082191780822,0.035069999694824217,-0.05,23.84,2026-02-20,43,0.014593361397466717
2026-01-08,685.8651123046875,683.0,0.1178082191780822,0.035069999694824217,-0.05,18.55,2026-02-20,43,0.004194893564696193
2026-01-08,685.8651123046875,690.0,0.1178082191780822,0.035069999694824217,-0.05,13.77,2026-02-20,43,-0.005992590862771739
2026-01-08,685.8651123046875,696.0,0.1178082191780822,0.035069999694824217,-0.05,10.18,2026-02-20,43,-0.014561620251885775
2026-01-08,685.8651123046875,703.0,0.1178082191780822,0.035069999694824217,-0.05,6.734999999999999,2026-02-20,43,-0.02437395120243599
2026-01-08,685.8651123046875,710.0,0.1178082191780822,0.035069999694824217,-0.05,4.165,2026-02-20,43,-0.033992799570862674
2026-01-08,685.8651123046875,717.0,0.1178082191780822,0.035069999694824217,-0.05,2.4299999999999997,2026-02-20,43,-0.043423832211035567
2026-01-08,685.8651123046875,730.0,0.1178082191780822,0.035069999694824217,-0.05,0.795,2026-02-20,43,-0.06045875026755137
2026-01-08,685.8651123046875,745.0,0.1178082191780822,0.035069999694824217,-0.05,0.235,2026-02-20,43,-0.07937568818162752
2026-01-08,685.8651123046875,760.0,0.1178082191780822,0.035069999694824217,-0.05,0.10500000000000001,2026-02-20,43,-0.09754590486225329
2026-01-08,685.8651123046875,634.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,62.120000000000005,2026-02-27,50,0.0818061708275828
2026-01-08,685.8651123046875,648.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,49.19,2026-02-27,50,0.05843381528501158
2026-01-08,685.8651123046875,662.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,36.84,2026-02-27,50,0.03605001858714124
2026-01-08,685.8651123046875,669.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,30.98,2026-02-27,50,0.025209435433015695
2026-01-08,685.8651123046875,676.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,25.375,2026-02-27,50,0.014593361397466717
2026-01-08,685.8651123046875,683.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,20.115000000000002,2026-02-27,50,0.004194893564696193
2026-01-08,685.8651123046875,690.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,15.33,2026-02-27,50,-0.005992590862771739
2026-01-08,685.8651123046875,696.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,11.705,2026-02-27,50,-0.014561620251885775
2026-01-08,685.8651123046875,703.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,8.120000000000001,2026-02-27,50,-0.02437395120243599
2026-01-08,685.8651123046875,710.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,5.33,2026-02-27,50,-0.033992799570862674
2026-01-08,685.8651123046875,717.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,3.325,2026-02-27,50,-0.043423832211035567
2026-01-08,685.8651123046875,731.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,1.14,2026-02-27,50,-0.06174403241492818
2026-01-08,685.8651123046875,745.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,0.385,2026-02-27,50,-0.07937568818162752
2026-01-08,685.8651123046875,760.0,0.136986301369863,0.035069999694824217,-0.04387072878799986,0.155,2026-02-27,50,-0.09754590486225329
2026-01-15,688.5806884765625,637.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,60.835,2026-02-27,43,0.08097439321281397
2026-01-15,688.5806884765625,651.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,47.894999999999996,2026-02-27,43,0.057727632068452384
2026-01-15,688.5806884765625,665.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,35.480000000000004,2026-02-27,43,0.035459681919642855
2026-01-15,688.5806884765625,671.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,30.41,2026-02-27,43,0.026200727982954544
2026-01-15,688.5806884765625,678.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,24.705,2026-02-27,43,0.015605735216168879
2026-01-15,688.5806884765625,685.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,19.345,2026-02-27,43,0.005227282447536496
2026-01-15,688.5806884765625,692.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,14.44,2026-02-27,43,-0.004941201623464595
2026-01-15,688.5806884765625,699.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,10.2,2026-02-27,43,-0.014906025069295422
2026-01-15,688.5806884765625,706.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,6.695,2026-02-27,43,-0.024673245783905808
2026-01-15,688.5806884765625,713.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,4.07,2026-02-27,43,-0.03424868376358696
2026-01-15,688.5806884765625,720.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,2.3,2026-02-27,43,-0.04363793267144097
2026-01-15,688.5806884765625,734.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,0.65,2026-02-27,43,-0.06187917101285763
2026-01-15,688.5806884765625,750.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,0.175,2026-02-27,43,-0.08189241536458333
2026-01-15,688.5806884765625,760.0,0.1178082191780822,0.03565000057220459,-0.04811385518924141,0.10500000000000001,2026-02-27,43,-0.0939727783203125
2026-01-15,688.5806884765625,635.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,65.72,2026-03-20,64,0.08437903697096456
2026-01-15,688.5806884765625,650.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,52.19,2026-03-20,64,0.05935490534855769
2026-01-15,688.5806884765625,665.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,39.28,2026-03-20,64,0.035459681919642855
2026-01-15,688.5806884765625,670.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,35.135,2026-03-20,64,0.027732370860541044
2026-01-15,688.5806884765625,680.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,27.245,2026-03-20,64,0.012618659524356618
2026-01-15,688.5806884765625,685.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,23.535,2026-03-20,64,0.005227282447536496
2026-01-15,688.5806884765625,690.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,20.0,2026-03-20,64,-0.0020569732223731886
2026-01-15,688.5806884765625,700.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,13.7,2026-03-20,64,-0.016313302176339285
2026-01-15,688.5806884765625,705.0,0.17534246575342466,0.03565000057220459,-0.02736803796842012,10.98,2026-03-20,64,-0.02328980357934397
