date,S,K,tau,r,q,price,expiry,days,moneyness,session
2026-01-07,685.9347534179688,635.0,0.0821917808219178,0.03515000104904175,-0.05,57.769999999999996,2026-02-06,30,0.0802122101070374,in
2026-01-07,685.9347534179688,650.0,0.0821917808219178,0.03515000104904175,-0.05,43.665,2026-02-06,30,0.05528423602764423,in
2026-01-07,685.9347534179688,662.0,0.0821917808219178,0.03515000104904175,-0.05,32.705,2026-02-06,30,0.036155216643457326,in
2026-01-07,685.9347534179688,669.0,0.0821917808219178,0.03515000104904175,-0.05,26.655,2026-02-06,30,0.025313532762285127,in
2026-01-07,685.9347534179688,676.0,0.0821917808219178,0.03515000104904175,-0.05,20.91,2026-02-06,30,0.01469638079581176,in
2026-01-07,685.9347534179688,683.0,0.0821917808219178,0.03515000104904175,-0.05,15.594999999999999,2026-02-06,30,0.004296857127333456,in
2026-01-07,685.9347534179688,690.0,0.0821917808219178,0.03515000104904175,-0.05,10.925,2026-02-06,30,-0.005891661713088768,in
2026-01-07,685.9347534179688,696.0,0.0821917808219178,0.03515000104904175,-0.05,7.525,2026-02-06,30,-0.014461561181079382,in
2026-01-07,685.9347534179688,703.0,0.0821917808219178,0.03515000104904175,-0.05,4.465,2026-02-06,30,-0.024274888452391535,in
2026-01-07,685.9347534179688,710.0,0.0821917808219178,0.03515000104904175,-0.05,2.4000000000000004,2026-02-06,30,-0.033894713495818664,in
2026-01-07,685.9347534179688,717.0,0.0821917808219178,0.03515000104904175,-0.05,1.19,2026-02-06,30,-0.04332670374062936,in
2026-01-07,685.9347534179688,730.0,0.0821917808219178,0.03515000104904175,-0.05,0.305,2026-02-06,30,-0.06036335148223459,in
2026-01-07,685.9347534179688,745.0,0.0821917808219178,0.03515000104904175,-0.05,0.095,2026-02-06,30,-0.07928221017722316,in
2026-01-07,685.9347534179688,760.0,0.0821917808219178,0.03515000104904175,-0.05,0.055,2026-02-06,30,-0.09745427181846217,in
2026-01-07,685.9347534179688,634.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,60.735,2026-02-20,44,0.0819160148548403,in
2026-01-07,685.9347534179688,648.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,47.739999999999995,2026-02-20,44,0.058541286138840666,in
2026-01-07,685.9347534179688,662.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,35.285,2026-02-20,44,0.036155216643457326,in
2026-01-07,685.9347534179688,669.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,29.37,2026-02-20,44,0.025313532762285127,in
2026-01-07,685.9347534179688,676.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,23.755000000000003,2026-02-20,44,0.01469638079581176,in
2026-01-07,685.9347534179688,683.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,18.515,2026-02-20,44,0.004296857127333456,in
2026-01-07,685.9347534179688,690.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,13.805,2026-02-20,44,-0.005891661713088768,in
2026-01-07,685.9347534179688,696.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,10.285,2026-02-20,44,-0.014461561181079382,in
2026-01-07,685.9347534179688,703.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,6.895,2026-02-20,44,-0.024274888452391535,in
2026-01-07,685.9347534179688,710.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,4.355,2026-02-20,44,-0.033894713495818664,in
2026-01-07,685.9347534179688,717.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,2.6100000000000003,2026-02-20,44,-0.04332670374062936,in
2026-01-07,685.9347534179688,730.0,0.12054794520547946,0.03515000104904175,-0.04357634427462754,0.905,2026-02-20,44,-0.06036335148223459,in
